Start Time,End Time,Distance
2020-12-07 01:59:49,2020-12-07 02:00:03,8.425235748291016
2020-12-07 10:52:00,2020-12-07 10:53:00,11.0
2020-12-07 10:53:00,2020-12-07 10:54:00,22.0
2020-12-07 10:54:00,2020-12-07 10:55:00,11.0
2020-12-07 10:59:00,2020-12-07 11:00:00,4.0
2020-12-07 11:00:00,2020-12-07 11:01:00,16.0
2020-12-07 11:01:00,2020-12-07 11:02:00,9.0
2020-12-07 11:06:00,2020-12-07 11:07:00,1.0
2020-12-07 11:08:00,2020-12-07 11:09:00,5.0
2020-12-07 11:09:00,2020-12-07 11:10:00,6.0
2020-12-07 11:10:00,2020-12-07 11:11:00,7.0
2020-12-07 11:21:00,2020-12-07 11:22:00,6.0
2020-12-07 12:55:00,2020-12-07 12:56:00,9.0
2020-12-07 12:56:00,2020-12-07 12:57:00,25.0
2020-12-07 12:57:00,2020-12-07 12:58:00,24.0
2020-12-07 12:59:00,2020-12-07 13:00:00,4.0
2020-12-07 13:12:58,2020-12-07 13:13:21,27.5664005279541
2020-12-07 13:13:21,2020-12-07 13:13:38,27.5664005279541
2020-12-07 13:24:06,2020-12-07 13:25:05,106.5905990600586
2020-12-07 13:25:05,2020-12-07 13:25:30,33.907474517822266
2020-12-07 13:26:32,2020-12-07 13:26:54,24.657270431518555
2020-12-07 14:54:52,2020-12-07 14:55:41,18.605728149414062
2020-12-07 14:55:41,2020-12-07 14:56:57,28.860136032104492
2020-12-07 14:56:57,2020-12-07 14:57:17,14.692972183227539
2020-12-07 14:57:17,2020-12-07 14:57:27,13.389644622802734
2020-12-07 15:12:34,2020-12-07 15:13:28,61.619407653808594
2020-12-07 15:13:28,2020-12-07 15:14:10,48.75758743286133
2020-12-07 15:17:00,2020-12-07 15:18:00,4.0
2020-12-07 15:19:00,2020-12-07 15:20:00,21.0
2020-12-07 16:20:00,2020-12-07 16:21:00,12.0
2020-12-07 16:46:00,2020-12-07 16:47:00,11.0
2020-12-07 16:47:00,2020-12-07 16:48:00,10.0
2020-12-07 16:48:00,2020-12-07 16:48:14,4.9147210121154785
2020-12-07 16:52:00,2020-12-07 16:53:00,29.0
2020-12-07 16:54:00,2020-12-07 16:55:00,73.0
2020-12-07 16:55:00,2020-12-07 16:56:00,61.0
2020-12-07 16:56:00,2020-12-07 16:56:03,4.620619297027588
2020-12-07 16:56:03,2020-12-07 16:56:14,11.270731925964355
2020-12-07 17:18:00,2020-12-07 17:19:00,54.0
2020-12-07 17:19:00,2020-12-07 17:20:00,30.0
2020-12-07 17:20:00,2020-12-07 17:21:00,11.0
2020-12-07 17:21:00,2020-12-07 17:22:00,6.0
2020-12-07 17:26:45,2020-12-07 17:26:48,2.8236918449401855
2020-12-07 17:27:42,2020-12-07 17:28:42,19.658884048461914
2020-12-07 17:28:42,2020-12-07 17:28:47,3.5105152130126953
2020-12-07 17:28:47,2020-12-07 17:29:24,19.658884048461914
2020-12-07 18:47:53,2020-12-07 18:48:01,3.5105152130126953
2020-12-07 19:58:23,2020-12-07 19:58:37,9.829442024230957
2020-12-07 19:58:37,2020-12-07 19:59:14,16.85047149658203
2020-12-07 20:13:00,2020-12-07 20:14:00,17.0
2020-12-07 20:15:00,2020-12-07 20:16:00,35.0
2020-12-07 20:16:00,2020-12-07 20:17:00,11.0
2020-12-07 20:32:00,2020-12-07 20:33:00,37.0
2020-12-07 20:33:00,2020-12-07 20:34:00,24.0
2020-12-07 20:34:00,2020-12-07 20:35:00,23.0
2020-12-07 20:35:00,2020-12-07 20:36:00,23.0
2020-12-07 20:36:00,2020-12-07 20:37:00,10.0
2020-12-07 20:42:00,2020-12-07 20:43:00,1.0
2020-12-07 20:43:00,2020-12-07 20:44:00,38.0
2020-12-07 20:44:08,2020-12-07 20:44:20,4.212617874145508
2020-12-07 20:46:15,2020-12-07 20:46:39,7.021030426025391
2020-12-07 20:47:00,2020-12-07 20:48:00,4.0
2020-12-07 20:50:00,2020-12-07 20:51:00,15.0
2020-12-07 21:24:00,2020-12-07 21:25:00,18.0
2020-12-07 21:25:00,2020-12-07 21:26:00,10.0
2020-12-07 23:46:13,2020-12-07 23:46:59,12.63785457611084
2020-12-07 23:46:59,2020-12-07 23:47:01,0.7021030187606812
2020-12-08 00:07:20,2020-12-08 00:08:20,19.658884048461914
2020-12-08 00:08:20,2020-12-08 00:08:24,5.275400161743164
2020-12-08 01:09:00,2020-12-08 02:09:00,1404.2060546875
